linha,descricao,agencia,sequencia,latitude,longitude
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,1,"-22.9725","-43.1914"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,32,"-22.9105","-43.1718"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,8,"-22.9048","-43.1893"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,28,"-22.9396","-43.1749"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,14,"-22.9526","-43.1877"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,31,"-22.9425","-43.181"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,22,"-22.9396","-43.1711"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,36,"-22.904","-43.1883"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,20,"-22.9424","-43.1741"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,43,"-22.9014","-43.2081"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,20,"-22.9227","-43.1724"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,22,"-22.9268","-43.1734"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,37,"-22.9055","-43.193"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,41,"-22.9038","-43.2096"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,23,"-22.9355","-43.174"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,30,"-22.9418","-43.1801"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,10,"-22.9586","-43.1912"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,30,"-22.9156","-43.1751"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,23,"-22.9293","-43.1741"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,34,"-22.9005","-43.1779"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,11,"-22.957","-43.1894"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,34,"-22.9472","-43.1825"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,31,"-22.9122","-43.1731"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,21,"-22.9246","-43.1727"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,35,"-22.9492","-43.1839"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,48,"-22.9706","-43.1862"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,13,"-22.9526","-43.1877"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,38,"-22.9079","-43.2008"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,29,"-22.9406","-43.176"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,45,"-22.9693","-43.1899"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,21,"-22.9412","-43.1724"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,17,"-22.9162","-43.1763"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,36,"-22.9495","-43.1878"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,42,"-22.9587","-43.1913"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,33,"-22.9054","-43.1737"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,17,"-22.9472","-43.1822"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,1,"-22.9014","-43.2081"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,5,"-22.9716","-43.1845"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,29,"-22.9195","-43.1748"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,7,"-22.9062","-43.1936"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,32,"-22.9448","-43.1823"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,49,"-22.9698","-43.184"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,42,"-22.9007","-43.2098"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,18,"-22.9433","-43.1809"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,26,"-22.9355","-43.1742"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,46,"-22.9725","-43.1914"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,8,"-22.9673","-43.1884"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,9,"-22.9034","-43.1851"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,40,"-22.9098","-43.2064"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,25,"-22.9294","-43.174"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,24,"-22.9327","-43.1744"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,10,"-22.9038","-43.1835"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,16,"-22.9113","-43.1753"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,37,"-22.95","-43.1909"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,2,"-22.9735","-43.1886"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,19,"-22.9426","-43.1768"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,28,"-22.9227","-43.1723"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,43,"-22.9646","-43.1929"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,9,"-22.9659","-43.1897"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,4,"-22.9081","-43.2099"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,41,"-22.9571","-43.1918"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,7,"-22.9689","-43.1872"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,12,"-22.9088","-43.1805"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,47,"-22.9735","-43.1886"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,33,"-22.9464","-43.1826"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,39,"-22.9529","-43.1935"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,4,"-22.9698","-43.184"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,6,"-22.9711","-43.1852"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,3,"-22.9068","-43.211"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,35,"-22.9025","-43.1832"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,6,"-22.9082","-43.2001"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,39,"-22.9072","-43.2094"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,18,"-22.9181","-43.1766"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,27,"-22.925","-43.1726"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,5,"-22.9101","-43.206"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,40,"-22.9563","-43.1921"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,15,"-22.9097","-43.1767"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,15,"-22.9519","-43.1858"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,2,"-22.907","-43.2158"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,38,"-22.9506","-43.1932"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,3,"-22.9706","-43.1862"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,14,"-22.9109","-43.1779"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,19,"-22.9211","-43.1737"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,27,"-22.9364","-43.174"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,12,"-22.9542","-43.1907"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,25,"-22.9338","-43.1744"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,16,"-22.951","-43.1833"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,26,"-22.9269","-43.1732"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,11,"-22.9057","-43.1827"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,13,"-22.9121","-43.1788"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,24,"-22.9318","-43.1744"
136,136-RODOVIARIA X COPACABANA (VIA LEOPOLDINA) CIRCULAR,Fetranspor,44,"-22.9671","-43.1912"
